name,affiliation,homepage,scholarid
Christoph M. Kirsch, University of Salzburg,http://cs.uni-salzburg.at/~ck,jk3kRKAAAAAJ
Christoph Meyer 0001, University of Salzburg,http://cs.uni-salzburg.at/~ck,jk3kRKAAAAAJ
Nikolaus Augsten, University of Salzburg,https://dbresearch.uni-salzburg.at/people/augsten,NOSCHOLARPAGE
Roland Kwitt, University of Salzburg,https://rkwitt.github.io,sfGFi6UAAAAJ
Kimon Fountoulakis, University of Waterloo,https://cs.uwaterloo.ca/people-profiles/kimon-fountoulakis,K-SafJUAAAAJ
Aki Vehtari,Aalto University,https://users.aalto.fi/~ave,tYgN0GsAAAAJ
Alexander Jung,Aalto University,https://users.aalto.fi/~junga1,mHjdZdwAAAAJ
Andrés A. Lucero,Aalto University,http://funkydesignspaces.com,YdNEAwoAAAAJ
Andrés Lucero,Aalto University,http://funkydesignspaces.com,YdNEAwoAAAAJ
Antti Oulasvirta,Aalto University,http://users.comnet.aalto.fi/oulasvir,_z41TLwAAAAJ
Antti Ylä-Jääski,Aalto University,http://cse.aalto.fi/en/personnel/antti-yla-jaaski,ojkArgn5IlAC
Aristides Gionis,Aalto University,https://users.ics.aalto.fi/gionis,11JgipcAAAAJ
Casper Lassenius,Aalto University,https://people.aalto.fi/casper_lassenius,rQHJ67UAAAAJ
David K. McGookin,Aalto University,https://people.aalto.fi/new/david.mcgookin,g77JWrQAAAAJ
Eero Hyvönen,Aalto University,https://seco.cs.aalto.fi/u/eahyvone,FqbJBcsAAAAJ
Eljas Soisalon-Soininen,Aalto University,https://people.aalto.fi/new/eljas.soisalon-soininen,NOSCHOLARPAGE
Harri Lähdesmäki,Aalto University,https://users.ics.aalto.fi/harrila,NOSCHOLARPAGE
Heikki Mannila,Aalto University,https://users.ics.aalto.fi/mannila,NOSCHOLARPAGE
Ilkka Niemelä,Aalto University,http://users.ics.aalto.fi/~ini,NOSCHOLARPAGE
Jaakko Lehtinen,Aalto University,https://mediatech.aalto.fi/~jaakko,Vpr6s3sAAAAJ
Jari Saramäki,Aalto University,https://people.aalto.fi/new/jari.saramaki,KA6xtQ0AAAAJ
Jouko Lampinen,Aalto University,https://people.aalto.fi/new/jouko.lampinen,Hk0Q8TkAAAAJ
Juha Karhunen,Aalto University,https://users.ics.aalto.fi/juha,Mu_v3sQAAAAJ
Juho Kannala,Aalto University,https://users.aalto.fi/~kannalj1,c4mWQPQAAAAJ
Juho Rousu,Aalto University,https://people.aalto.fi/juho_rousu,JYN5cL4AAAAJ
Jukka Suomela,Aalto University,https://users.ics.aalto.fi/suomela,hTZOWl8AAAAJ
Kari Smolander,Aalto University,https://people.aalto.fi/new/kari.smolander,f1w2dAwAAAAJ
Keijo Heljanko,Aalto University,https://users.ics.aalto.fi/kepa,TOSfazMAAAAJ
Kimmo Kaski,Aalto University,https://people.aalto.fi/kimmo_kaski,Cpay6fYAAAAJ
Lauri Malmi,Aalto University,http://www.cs.hut.fi/~lma,uKJ_WV4AAAAJ
Lauri Savioja,Aalto University,https://mediatech.aalto.fi/~las,wTfO6z0AAAAJ
Mario Di Francesco,Aalto University,https://users.aalto.fi/~difram1,xuJ3KAYAAAAJ
Marjo Kauppinen,Aalto University,https://people.aalto.fi/new/marjo.kauppinen,Wo8x6EUAAAAJ
Marko H. T. Nieminen,Aalto University,https://users.aalto.fi/~mhtn/home,ouIgYzsAAAAJ
Marko Nieminen,Aalto University,https://users.aalto.fi/~mhtn/home,ouIgYzsAAAAJ
Martti Mäntylä,Aalto University,https://people.aalto.fi/martti_mantyla,NOSCHOLARPAGE
Mikko Kivelä,Aalto University,https://people.aalto.fi/new/mikko.kivela,Z3913I0AAAAJ
N. Asokan,Aalto University,https://people.aalto.fi/n_asokan,0MqQ8AgAAAAJ
Parinya Chalermsook,Aalto University,https://people.aalto.fi/new/parinya.chalermsook,Cw6NQasAAAAJ
Pekka Orponen,Aalto University,https://users.ics.aalto.fi/orponen,vxczc7gAAAAJ
Perttu Hämäläinen,Aalto University,https://mediatech.aalto.fi/~phamalainen,i90uqXUAAAAJ
Petri Vuorimaa,Aalto University,https://people.aalto.fi/petri_vuorimaa,Bcg93pAAAAAJ
Petteri Kaski,Aalto University,https://users.ics.aalto.fi/pkaski,HuV9_EkAAAAJ
Sampsa Hyysalo,Aalto University,https://inuse.fi/people/sampsa-hyysalo,Uzl_pPYAAAAJ
Samuel Kaski,Aalto University,https://users.ics.aalto.fi/sami,NOSCHOLARPAGE
Stavros Tripakis,Aalto University,https://users.ics.aalto.fi/stavros,xmdNUEcAAAAJ
Tapio Lokki,Aalto University,https://users.aalto.fi/~ktlokki,vz4vC1cAAAAJ
Tapio Takala,Aalto University,https://people.aalto.fi/new/tapio.takala,NOSCHOLARPAGE
Tuomas Aura,Aalto University,https://people.aalto.fi/new/tuomas.aura,izj4P5gAAAAJ
Virpi Roto,Aalto University,http://www.allaboutux.org/virpiroto,KntdFBMAAAAJ
Anders Møller,Aarhus University,https://cs.au.dk/~amoeller,0b1Q-3cAAAAJ
Aslan Askarov,Aarhus University,http://askarov.net,VV78_dMAAAAJ
Christian N. S. Pedersen,Aarhus University,http://users-birc.au.dk/cstorm,RHtkRKwAAAAJ
Christian Nørgaard Storm Pedersen,Aarhus University,http://users-birc.au.dk/cstorm,RHtkRKwAAAAJ
Claudio Orlandi,Aarhus University,http://www.cs.au.dk/~orlandi,EVDZd5oAAAAJ
Eve E. Hoggan,Aarhus University,http://www.evehoggan.com,EIU2kHUAAAAJ
Eve Elizabeth Hoggan,Aarhus University,http://www.evehoggan.com,EIU2kHUAAAAJ
Gerth Stølting Brodal,Aarhus University,http://cs.au.dk/~gerth,NOSCHOLARPAGE
Gudmund Skovbjerg Frandsen,Aarhus University,http://cs.au.dk/~gudmund,bHvSLToAAAAJ
Hans Jörg Müller,Aarhus University,http://pure.au.dk/portal/en/persons/id(3e718f2c-7cc4-4cc5-8f05-87e65963d7c1).html,qU5PVzAAAAAJ
Henrik Bærbak Christensen,Aarhus University,http://pure.au.dk/portal/en/persons/henrik-baerbak-christensen(4f747aba-32e8-4492-841f-1f9130be6909).html,Eb2LzvUAAAAJ
